,Week,CRN,Subject,Course Name,Student ID,Remote Learner,Mon,Tue,Wed,Thu,Fri,Sat,Sun
84,02/22/2021-02/28/2021,35213,DS,Foundations of Data Science,a6013e,No,,INP Yes,,,INP Yes,,
85,02/08/2021-02/14/2021,35213,DS,Foundations of Data Science,a6013e,No,,INP Yes,,,INP Yes,,
86,01/25/2021-01/31/2021,35213,DS,Foundations of Data Science,a6013e,No,,INP No,,,INP No,,
87,01/18/2021-01/24/2021,35214,DS,Foundations of Data Science,430c47,No,,INP No,,,INP No,,
88,02/15/2021-02/21/2021,35214,DS,Foundations of Data Science,430c47,No,,INP Yes,,,INP Yes,,
89,02/01/2021-02/07/2021,35214,DS,Foundations of Data Science,430c47,No,,INP Yes,,,INP Yes,,
90,03/08/2021-03/14/2021,35214,DS,Foundations of Data Science,430c47,No,,INP Yes,,,INP No,,
91,01/25/2021-01/31/2021,35214,DS,Foundations of Data Science,430c47,No,,INP Yes,,,INP Yes,,
92,02/08/2021-02/14/2021,35214,DS,Foundations of Data Science,430c47,No,,INP Yes,,,INP Yes,,
93,03/01/2021-03/07/2021,35214,DS,Foundations of Data Science,430c47,No,,INP Yes,,,INP Yes,,
94,02/22/2021-02/28/2021,35214,DS,Foundations of Data Science,430c47,No,,INP Yes,,,INP Yes,,
95,02/08/2021-02/14/2021,35213,DS,Foundations of Data Science,d9d8b3,No,,REM Yes,,,REM Yes,,
96,01/18/2021-01/24/2021,35213,DS,Foundations of Data Science,d9d8b3,No,,REM Yes,,,REM Yes,,
97,01/25/2021-01/31/2021,35213,DS,Foundations of Data Science,d9d8b3,No,,REM Yes,,,REM Yes,,
98,02/15/2021-02/21/2021,35213,DS,Foundations of Data Science,d9d8b3,No,,REM Yes,,,REM Yes,,
99,03/01/2021-03/07/2021,35213,DS,Foundations of Data Science,d9d8b3,No,,REM Yes,,,REM Yes,,
100,02/22/2021-02/28/2021,35213,DS,Foundations of Data Science,d9d8b3,No,,REM Yes,,,REM Yes,,
101,03/08/2021-03/14/2021,35213,DS,Foundations of Data Science,d9d8b3,No,,REM Yes,,,REM Yes,,
102,02/01/2021-02/07/2021,35213,DS,Foundations of Data Science,d9d8b3,No,,REM Yes,,,REM Yes,,
103,02/22/2021-02/28/2021,35214,DS,Foundations of Data Science,837852,No,,INP Yes,,,INP Yes,,
104,02/15/2021-02/21/2021,35214,DS,Foundations of Data Science,837852,No,,INP No,,,INP No,,
105,02/08/2021-02/14/2021,35214,DS,Foundations of Data Science,837852,No,,INP Yes,,,INP Yes,,
106,03/08/2021-03/14/2021,35214,DS,Foundations of Data Science,837852,No,,INP No,,,INP Yes,,
107,03/01/2021-03/07/2021,35214,DS,Foundations of Data Science,837852,No,,INP Yes,,,INP Yes,,
108,02/01/2021-02/07/2021,35214,DS,Foundations of Data Science,837852,No,,INP Yes,,,INP Yes,,
109,01/18/2021-01/24/2021,35214,DS,Foundations of Data Science,837852,No,,INP No,,,INP No,,
110,01/25/2021-01/31/2021,35214,DS,Foundations of Data Science,837852,No,,INP Yes,,,INP Yes,,
111,02/15/2021-02/21/2021,35213,DS,Foundations of Data Science,29d069,No,,INP Yes,,,INP Yes,,
112,03/08/2021-03/14/2021,35213,DS,Foundations of Data Science,29d069,No,,INP No,,,INP No,,
113,02/22/2021-02/28/2021,35213,DS,Foundations of Data Science,29d069,No,,INP Yes,,,INP Yes,,
114,03/01/2021-03/07/2021,35213,DS,Foundations of Data Science,29d069,No,,INP Yes,,,INP Yes,,
115,01/25/2021-01/31/2021,35213,DS,Foundations of Data Science,29d069,No,,INP Yes,,,INP Yes,,
116,02/01/2021-02/07/2021,35213,DS,Foundations of Data Science,29d069,No,,INP Yes,,,INP Yes,,
117,01/18/2021-01/24/2021,35213,DS,Foundations of Data Science,29d069,No,,INP No,,,INP No,,
118,02/08/2021-02/14/2021,35213,DS,Foundations of Data Science,29d069,No,,INP Yes,,,INP Yes,,
119,03/08/2021-03/14/2021,35214,DS,Foundations of Data Science,19aec7,No,,INP Yes,,,INP No,,
120,02/15/2021-02/21/2021,35214,DS,Foundations of Data Science,19aec7,No,,INP No,,,INP No,,
121,01/18/2021-01/24/2021,35214,DS,Foundations of Data Science,19aec7,No,,INP No,,,INP No,,
122,02/08/2021-02/14/2021,35214,DS,Foundations of Data Science,19aec7,No,,INP No,,,INP No,,
123,02/01/2021-02/07/2021,35214,DS,Foundations of Data Science,19aec7,No,,INP No,,,INP No,,
124,01/25/2021-01/31/2021,35214,DS,Foundations of Data Science,19aec7,No,,INP No,,,INP No,,
125,02/22/2021-02/28/2021,35214,DS,Foundations of Data Science,19aec7,No,,INP No,,,INP No,,
126,03/01/2021-03/07/2021,35214,DS,Foundations of Data Science,19aec7,No,,INP No,,,INP No,,
127,03/08/2021-03/14/2021,35213,DS,Foundations of Data Science,a4e579,No,,INP Yes,,,INP Yes,,
128,02/15/2021-02/21/2021,35213,DS,Foundations of Data Science,a4e579,No,,INP Yes,,,INP Yes,,
129,02/08/2021-02/14/2021,35213,DS,Foundations of Data Science,a4e579,No,,INP Yes,,,INP Yes,,
130,01/18/2021-01/24/2021,35213,DS,Foundations of Data Science,a4e579,No,,INP No,,,INP No,,
131,02/01/2021-02/07/2021,35213,DS,Foundations of Data Science,a4e579,No,,INP Yes,,,INP Yes,,
132,01/25/2021-01/31/2021,35213,DS,Foundations of Data Science,a4e579,No,,INP Yes,,,INP Yes,,
133,03/01/2021-03/07/2021,35213,DS,Foundations of Data Science,a4e579,No,,INP Yes,,,INP Yes,,
134,02/22/2021-02/28/2021,35213,DS,Foundations of Data Science,a4e579,No,,INP Yes,,,INP Yes,,
135,03/01/2021-03/07/2021,35214,DS,Foundations of Data Science,04256a,No,,INP Yes,,,INP Yes,,
136,02/22/2021-02/28/2021,35214,DS,Foundations of Data Science,04256a,No,,INP Yes,,,INP Yes,,
137,02/08/2021-02/14/2021,35214,DS,Foundations of Data Science,04256a,No,,INP Yes,,,INP Yes,,
138,03/08/2021-03/14/2021,35214,DS,Foundations of Data Science,04256a,No,,INP No,,,INP Yes,,
139,01/18/2021-01/24/2021,35214,DS,Foundations of Data Science,04256a,No,,INP No,,,INP No,,
140,02/01/2021-02/07/2021,35214,DS,Foundations of Data Science,04256a,No,,INP Yes,,,INP Yes,,
141,01/25/2021-01/31/2021,35214,DS,Foundations of Data Science,04256a,No,,INP Yes,,,INP Yes,,
142,02/15/2021-02/21/2021,35214,DS,Foundations of Data Science,04256a,No,,INP Yes,,,INP Yes,,
143,03/08/2021-03/14/2021,35214,DS,Foundations of Data Science,de52dc,No,,INP Yes,,,INP Yes,,
144,03/01/2021-03/07/2021,35214,DS,Foundations of Data Science,de52dc,No,,INP No,,,INP No,,
145,02/08/2021-02/14/2021,35214,DS,Foundations of Data Science,de52dc,No,,INP No,,,INP No,,
146,01/25/2021-01/31/2021,35214,DS,Foundations of Data Science,de52dc,No,,INP No,,,INP No,,
147,02/15/2021-02/21/2021,35214,DS,Foundations of Data Science,de52dc,No,,INP No,,,INP No,,
148,02/22/2021-02/28/2021,35214,DS,Foundations of Data Science,de52dc,No,,INP No,,,INP No,,
149,01/18/2021-01/24/2021,35214,DS,Foundations of Data Science,de52dc,No,,INP No,,,INP No,,
150,02/01/2021-02/07/2021,35214,DS,Foundations of Data Science,de52dc,No,,INP No,,,INP No,,
151,01/18/2021-01/24/2021,35213,DS,Foundations of Data Science,94d333,No,,INP No,,,INP No,,
152,02/01/2021-02/07/2021,35213,DS,Foundations of Data Science,94d333,No,,INP No,,,INP No,,
153,02/15/2021-02/21/2021,35213,DS,Foundations of Data Science,94d333,No,,INP No,,,INP No,,
154,02/08/2021-02/14/2021,35213,DS,Foundations of Data Science,94d333,No,,INP No,,,INP No,,
155,03/08/2021-03/14/2021,35213,DS,Foundations of Data Science,94d333,No,,INP Yes,,,INP Yes,,
156,03/01/2021-03/07/2021,35213,DS,Foundations of Data Science,94d333,No,,INP No,,,INP No,,
157,01/25/2021-01/31/2021,35213,DS,Foundations of Data Science,94d333,No,,INP No,,,INP No,,
158,02/22/2021-02/28/2021,35213,DS,Foundations of Data Science,94d333,No,,INP No,,,INP No,,
159,01/25/2021-01/31/2021,35214,DS,Foundations of Data Science,765a9a,No,,INP Yes,,,INP Yes,,
160,02/08/2021-02/14/2021,35214,DS,Foundations of Data Science,765a9a,No,,INP Yes,,,INP Yes,,
161,02/15/2021-02/21/2021,35214,DS,Foundations of Data Science,765a9a,No,,INP Yes,,,INP Yes,,
162,02/01/2021-02/07/2021,35214,DS,Foundations of Data Science,765a9a,No,,INP Yes,,,INP Yes,,
